time,bid,ask,mid_price,inventory,executed_bid,executed_ask,pnl,sigma
1,99.95,100.05,100.4702823581956,0,,,0.0,0.5
2,100.4202823581956,100.5202823581956,100.28864694411403,0,,,0.0,0.5
3,100.23864694411404,100.33864694411403,100.66311056462281,0,,,0.0,0.5
4,100.61311056462281,100.71311056462281,100.20030880495005,0,,,0.0,0.5
5,100.15030880495006,100.25030880495005,100.16533040920943,0,,,0.0,0.5
6,100.11533040920943,100.21533040920943,100.07979914771455,0,,,0.0,0.5
7,100.02979914771456,100.12979914771455,100.25853122251087,0,,,0.0,0.5
8,100.20853122251087,100.30853122251087,100.04239715319302,0,,,0.0,0.5
9,99.99239715319302,100.09239715319302,100.60476344189382,0,,,0.0,0.5
10,100.55476344189383,100.65476344189382,100.89982166371148,0,,,0.0,0.5
11,100.84982166371148,100.94982166371148,101.1264077146785,0,,,0.0,0.5
12,101.07640771467851,101.1764077146785,101.17943162730909,0,,,0.0,0.5
13,101.12943162730909,101.22943162730908,101.15424958068807,0,,,0.0,0.5
14,101.10424958068808,101.20424958068807,100.93670149347501,0,,,0.0,0.5
15,100.88670149347502,100.98670149347501,101.63733707441845,0,,,0.0,0.5
16,101.58733707441846,101.68733707441845,101.38802770570464,0,,,0.0,0.5
17,101.33802770570465,101.43802770570464,101.71529993801937,0,,,0.0,0.5
18,101.66529993801937,101.76529993801937,101.5338827786776,0,,,0.0,0.5
19,101.4838827786776,101.58388277867759,101.7057690117706,0,,,0.0,0.5
20,101.6557690117706,101.7557690117706,101.69975040672043,0,,,0.0,0.5
21,101.64975040672043,101.74975040672042,101.28379991585108,0,,,0.0,0.5
22,101.23379991585108,101.33379991585107,101.46309616045131,0,,,0.0,0.5
23,101.41309616045132,101.51309616045131,101.61320694044372,0,,,0.0,0.5
24,101.56320694044372,101.66320694044371,101.49268748796833,0,,,0.0,0.5
25,101.44268748796833,101.54268748796832,100.91942969976917,0,,,0.0,0.5
26,100.86942969976917,100.96942969976917,101.52307236367375,0,,,0.0,0.5
27,101.47307236367375,101.57307236367375,101.34419996655625,0,,,0.0,0.5
28,101.29419996655625,101.39419996655624,100.41332975663227,0,,,0.0,0.5
29,100.36332975663227,100.46332975663226,99.66963434160643,0,,,0.0,0.5
30,99.61963434160643,99.71963434160642,99.69707869728782,0,,,0.0,0.5
31,99.64707869728782,99.74707869728782,99.8018625799016,0,,,0.0,0.5
32,99.7518625799016,99.85186257990159,99.99020498048127,0,,,0.0,0.5
33,99.94020498048127,100.04020498048126,99.52740676075445,0,,,0.0,0.5
34,99.47740676075445,99.57740676075444,99.43992507416733,0,,,0.0,0.5
35,99.38992507416734,99.48992507416733,99.88699210440616,0,,,0.0,0.5
36,99.83699210440616,99.93699210440616,99.39787343916993,0,,,0.0,0.5
37,99.34787343916993,99.44787343916992,99.2203011371216,0,,,0.0,0.5
38,99.1703011371216,99.27030113712159,99.33781036398818,0,,,0.0,0.5
39,99.28781036398819,99.38781036398818,99.12776589125211,0,,,0.0,0.5
40,99.07776589125211,99.17776589125211,99.23651485742595,0,,,0.0,0.5
41,99.18651485742595,99.28651485742594,98.79213073343846,0,,,0.0,0.5
42,98.74213073343846,98.84213073343845,99.27176879863471,0,,,0.0,0.5
43,99.22176879863471,99.32176879863471,99.22986140987393,0,,,0.0,0.5
44,99.17986140987394,99.27986140987393,99.04087659920985,0,,,0.0,0.5
45,98.99087659920986,99.09087659920985,99.87837839745458,0,,,0.0,0.5
46,99.82837839745459,99.92837839745458,100.53746034843526,0,,,0.0,0.5
47,100.48746034843526,100.58746034843526,100.7249655502443,0,,,0.0,0.5
48,100.67496555024431,100.7749655502443,100.00463767310926,0,,,0.0,0.5
49,99.95463767310926,100.05463767310926,99.8128121288858,0,,,0.0,0.5
50,99.7628121288858,99.86281212888579,99.3748080129636,0,,,0.0,0.5
51,99.3248080129636,99.4248080129636,99.32434616305316,0,,,0.0,0.5
52,99.27434616305317,99.37434616305316,99.68009825153894,0,,,0.0,0.5
53,99.63009825153894,99.73009825153893,99.08668680875017,0,,,0.0,0.5
