spread,sensitivity,final_pnl,final_inventory,std_inventory,sharpe,max_drawdown,hit_rate
0.01,0.001,889.2687643538759,-9,2.434713089427136,0.018249874080413585,-1.1948027208141567,0.122
0.01,0.01,-609.3280154434715,6,1.0203019239499727,-0.06737848204495805,-7.066276743877852,0.001
0.01,0.02,285.063794920825,-3,0.572967967946108,0.04080407929928007,-0.5166035621492716,0.004
0.01,0.03,197.6262993227013,-2,0.46752816234167394,0.024917397946730376,-1.0449673885521358,0.004
0.01,0.05,100.44513977348815,-1,0.0316227766016838,0.031622776601683805,0.0,0.001
0.05,0.001,-224.68047839486923,2,1.830249658875481,-0.011740526816234505,-1.7300546420979357,0.017
0.05,0.01,-798.6263763756982,8,3.839466825681074,-0.06386606618604326,-8.885455526569327,0.004
0.05,0.02,184.61865514733688,-2,0.569451732173391,0.029656201486827023,-1.0289567715181684,0.003
0.05,0.03,101.27840727587633,-1,0.14345584540052583,0.0316227766016838,0.0,0.001
0.05,0.05,101.27840727587633,-1,0.14345584540052583,0.0316227766016838,0.0,0.001
0.1,0.001,-15.150046712266203,0,0.37493943454854084,-0.003493310756321679,-104.20610147508788,0.001
0.1,0.01,-5.691811091361146,0,0.12553788177183714,-0.0012545269898711832,-104.20610147508788,0.001
0.1,0.02,-5.70180809136113,0,0.12553788177183714,-0.0012567906117147243,-104.20610147508788,0.001
0.1,0.03,-0.5573429077453085,0,0.0316227766016838,-0.0001198556410987827,-104.20610147508788,0.001
0.1,0.05,-0.567339907745307,0,0.0316227766016838,-0.00012201133126409945,-104.20610147508788,0.001
0.15,0.001,0.0,0,0.0,0.0,0.0,0.0
0.15,0.01,0.0,0,0.0,0.0,0.0,0.0
0.15,0.02,0.0,0,0.0,0.0,0.0,0.0
0.15,0.03,0.0,0,0.0,0.0,0.0,0.0
0.15,0.05,0.0,0,0.0,0.0,0.0,0.0
0.2,0.001,0.0,0,0.0,0.0,0.0,0.0
0.2,0.01,0.0,0,0.0,0.0,0.0,0.0
0.2,0.02,0.0,0,0.0,0.0,0.0,0.0
0.2,0.03,0.0,0,0.0,0.0,0.0,0.0
0.2,0.05,0.0,0,0.0,0.0,0.0,0.0
